,날짜,모기지수,강수량(mm),평균기온(C),최저기온(C),최대기온(C)
0,05-01,254.4,0.0,18.8,12.2,26.0
1,05-02,273.5,16.5,21.1,16.5,28.4
2,05-03,304.0,27.0,12.9,8.9,17.6
3,05-04,256.2,0.0,15.7,10.2,20.6
4,05-05,243.8,7.5,18.9,10.2,26.9
5,05-06,248.5,9.5,16.3,13.0,18.6
6,05-07,243.2,0.0,16.5,10.7,22.6
7,05-08,249.0,0.0,19.4,11.6,26.8
8,05-09,249.6,0.0,20.2,16.3,25.4
9,05-10,240.8,13.5,14.5,12.5,18.1
10,05-11,252.1,0.0,16.4,10.4,23.5
11,05-12,261.1,0.0,17.8,12.1,24.0
12,05-13,258.2,0.5,18.6,12.7,25.4
13,05-14,277.8,0.0,20.2,15.1,26.9
14,05-15,306.4,45.0,17.4,12.3,24.2
15,05-16,299.9,2.5,15.9,10.8,21.9
16,05-17,256.9,0.0,19.3,10.9,26.6
17,05-18,275.2,0.0,22.3,13.5,29.5
18,05-19,309.7,0.0,24.3,16.3,31.9
19,05-20,353.6,0.0,24.0,16.8,31.6
20,05-21,407.0,0.0,24.1,17.8,30.4
21,05-22,438.4,0.0,24.7,17.6,31.7
22,05-23,522.5,0.0,23.3,18.3,29.4
23,05-24,614.4,38.5,16.8,15.4,21.8
24,05-25,609.6,0.0,19.7,15.3,24.4
25,05-26,582.1,0.0,19.4,17.5,22.9
26,05-27,527.9,0.0,20.9,14.8,27.1
27,05-28,487.3,0.0,21.7,17.2,28.0
28,05-29,465.9,0.0,21.5,17.2,27.6
29,05-30,434.5,0.0,22.1,16.9,28.9
30,05-31,427.2,0.0,21.6,17.4,27.6
31,06-01,460.2,0.0,23.3,17.1,29.9
32,06-02,496.2,0.0,23.2,17.2,29.1
33,06-03,539.9,0.0,22.2,17.6,27.7
34,06-04,558.4,0.0,21.2,18.2,26.3
35,06-05,554.7,0.0,24.7,17.3,32.2
36,06-06,581.5,0.0,23.3,20.8,28.4
37,06-07,606.2,0.1,21.7,19.6,25.9
38,06-08,616.5,0.0,22.1,18.2,27.7
39,06-09,604.9,0.0,24.1,17.8,31.3
40,06-10,604.9,0.0,24.6,20.2,31.3
41,06-11,644.2,3.0,23.5,20.9,26.5
42,06-12,658.9,1.5,23.5,19.9,26.7
43,06-13,645.7,0.0,23.5,19.4,29.6
44,06-14,639.9,0.0,23.8,19.7,29.5
45,06-15,666.3,15.5,20.9,17.4,24.5
46,06-16,643.5,0.0,20.9,18.6,24.9
47,06-17,606.2,0.0,23.8,18.6,29.1
48,06-18,575.6,0.0,24.5,20.1,29.9
49,06-19,601.5,0.0,24.1,20.3,29.3
50,06-20,615.2,0.0,24.7,19.6,30.7
51,06-21,624.2,0.0,26.0,21.0,31.3
52,06-22,648.6,30.5,24.3,20.9,30.2
53,06-23,728.3,0.1,24.7,19.6,29.4
54,06-24,789.7,3.5,23.1,21.1,25.7
55,06-25,795.1,0.0,22.8,19.2,26.7
56,06-26,755.0,0.0,24.4,19.4,30.3
57,06-27,755.0,0.0,24.4,19.9,29.5
58,06-28,754.9,0.0,24.7,20.4,29.7
59,06-29,729.1,0.0,25.3,20.9,30.2
60,06-30,720.9,0.2,24.6,23.0,26.9
61,07-01,518.3,108.5,24.0,22.0,26.6
62,07-02,509.8,4.0,23.5,20.6,27.7
63,07-03,505.3,0.0,23.5,21.1,26.8
64,07-04,511.1,29.5,21.8,20.2,24.1
65,07-05,525.7,100.5,23.1,20.2,24.8
66,07-06,535.2,0.0,22.9,20.3,26.9
